ProfileNo,GPS_Epoch_UTC,CTD_C,CTD_T,CTD_D,Optode_O2,Optode_Temp,Optode_Cal_Ph,Optode_Tc_Ph,Optode_C1_Ph,Optode_C2_Ph,Optode_C1_Amp,Optode_C2_Amp,Optode_Temp_raw,Wetlab_C1_lambda,Wetlab_C1_signal,Wetlab_C2_lambda,Wetlab_C2_signal,Wetlab_C3_lambda,Wetlab_C3_signal,Wetlab_Therm
0,1459511846,0.000030,23.842800,6.320000,267.307007,23.124001,30.827000,30.827000,38.757999,7.931000,939.799988,994.799988,215.100006,695,50,700,61,460,63,538
1,1459511853,0.000030,23.842300,10.050000,267.223999,23.125999,30.829000,30.829000,38.758999,7.930000,939.700012,994.000000,215.000000,695,45,700,59,460,58,538
2,1459511857,0.000020,23.840300,10.830000,267.233002,23.127001,30.827999,30.827999,38.756001,7.928000,939.599976,992.900024,215.000000,695,42,700,60,460,57,538
3,1459511861,0.000020,23.839300,12.410000,267.239990,23.129000,30.827000,30.827000,38.756001,7.928000,939.500000,992.400024,214.899994,695,49,700,67,460,69,538
4,1459511865,0.000020,23.837900,13.300000,267.212006,23.131001,30.827999,30.827999,38.756001,7.928000,939.500000,992.000000,214.899994,695,43,700,63,460,64,538
5,1459511869,0.000020,23.836500,13.820000,267.203003,23.132999,30.827000,30.827000,38.756001,7.928000,939.500000,991.799988,214.800003,695,49,700,63,460,57,538
6,1459511873,0.000020,23.835800,13.970000,267.243988,23.135000,30.825001,30.825001,38.755001,7.930000,939.500000,991.400024,214.699997,695,52,700,63,460,53,537
7,1459511877,0.000020,23.834801,15.240000,267.278992,23.136999,30.823000,30.823000,38.752998,7.931000,939.400024,991.200012,214.699997,695,54,700,59,460,43,537
8,1459511881,0.000020,23.834400,15.930000,267.208008,23.139999,30.823999,30.823999,38.754002,7.930000,939.400024,991.000000,214.600006,695,45,700,65,460,47,537
9,1459511885,0.000020,23.833200,16.260000,267.213013,23.142000,30.823000,30.823000,38.756001,7.932000,939.299988,990.799988,214.500000,695,49,700,57,460,60,537
10,1459511889,0.000020,23.833099,16.129999,267.140991,23.143999,30.825001,30.825001,38.756001,7.931000,939.299988,990.599976,214.399994,695,49,700,63,460,60,537
11,1459511893,0.000020,23.832701,16.270000,267.084991,23.146999,30.826000,30.826000,38.757999,7.931000,939.299988,990.400024,214.300003,695,48,700,63,460,46,537
12,1459511897,0.000020,23.831499,15.790000,267.113007,23.150000,30.823999,30.823999,38.755001,7.931000,939.200012,990.099976,214.300003,695,44,700,63,460,46,537
13,1459511901,0.000020,23.831800,15.670000,267.132996,23.153000,30.822001,30.822001,38.755001,7.933000,939.099976,990.000000,214.199997,695,50,700,62,460,49,537
14,1459511905,0.000020,23.831800,14.270000,267.096985,23.156000,30.822001,30.822001,38.755001,7.933000,939.200012,989.900024,214.100006,695,43,700,63,460,58,537
15,1459511909,0.000020,23.831301,12.340000,267.046997,23.159000,30.823000,30.823000,38.756001,7.933000,939.099976,989.700012,214.000000,695,51,700,67,460,68,537
16,1459511913,0.000020,23.830601,10.630000,266.984009,23.163000,30.823999,30.823999,38.756001,7.932000,939.099976,989.500000,213.899994,695,49,700,59,460,65534,537
17,1459511917,0.000020,23.830000,9.100000,267.036011,23.166000,30.820999,30.820999,38.755001,7.934000,939.099976,989.400024,213.800003,695,45,700,64,460,44,537
18,1459511921,0.000020,23.830000,7.870000,267.003998,23.170000,30.820000,30.820000,38.756001,7.935000,939.000000,989.200012,213.600006,695,49,700,65,460,66,537
19,1459511925,0.000020,23.829800,7.160000,267.039001,23.174000,30.818001,30.818001,38.751999,7.935000,938.900024,989.099976,213.500000,695,50,700,57,460,51,537
20,1459511929,0.000020,23.830200,6.480000,267.023987,23.177000,30.816999,30.816999,38.751999,7.935000,938.900024,989.000000,213.399994,695,49,700,56,460,35,537
