MeasurementNo,Unix_Epoch_UTC,CTD_C,CTD_T,CTD_D,Optode_O2,Optode_Temp,Optode_Cal_Ph,Optode_Tc_Ph,Optode_C1_Ph,Optode_C2_Ph,Optode_C1_Amp,Optode_C2_Amp,Optode_Temp_raw,Wetlab_C1_lambda,Wetlab_C1_signal,Wetlab_C2_lambda,Wetlab_C2_signal,Wetlab_C3_lambda,Wetlab_C3_signal,Wetlab_Therm
1,1776449767,0.000030,21.713301,1.330000,279.484009,21.122000,31.156000,31.156000,38.973999,7.818000,957.700012,1021.599976,277.200012,695,52,700,70,460,47,542
2,1776449774,0.000020,21.711700,9.370000,279.429993,21.125999,31.156000,31.156000,38.972000,7.816000,957.599976,1021.000000,277.000000,695,41,700,70,460,42,541
3,1776449778,0.000020,21.709801,12.100000,279.447998,21.125000,31.156000,31.156000,38.970001,7.814000,957.599976,1020.000000,277.100006,695,50,700,66,460,59,541
4,1776449782,0.000020,21.709101,13.020000,279.425995,21.125000,31.157000,31.157000,38.971001,7.814000,957.500000,1019.400024,277.100006,695,51,700,70,460,45,541
5,1776449786,0.000020,21.707600,13.950000,279.519012,21.124001,31.153000,31.153000,38.967999,7.814000,957.400024,1019.099976,277.100006,695,47,700,68,460,43,541
6,1776449790,0.000020,21.706600,14.190000,279.463013,21.125999,31.155001,31.155001,38.970001,7.815000,957.500000,1018.799988,277.000000,695,50,700,68,460,63,541
7,1776449794,0.000020,21.705299,13.920000,279.476013,21.125999,31.155001,31.155001,38.966000,7.812000,957.500000,1018.599976,277.000000,695,52,700,71,460,45,541
8,1776449798,0.000020,21.704399,15.250000,279.468994,21.128000,31.153999,31.153999,38.966999,7.813000,957.400024,1018.299988,277.000000,695,44,700,68,460,44,541
9,1776449802,0.000020,21.703199,17.049999,279.432007,21.129999,31.153999,31.153999,38.970001,7.815000,957.400024,1018.200012,276.899994,695,50,700,66,460,70,541
10,1776449806,0.000020,21.702499,18.559999,279.454010,21.129000,31.153999,31.153999,38.969002,7.815000,957.500000,1018.000000,276.899994,695,48,700,74,460,46,541
11,1776449810,0.000020,21.701300,17.440001,279.485992,21.129000,31.153000,31.153000,38.967999,7.815000,957.400024,1017.799988,276.899994,695,50,700,71,460,61,540
12,1776449814,0.000020,21.700199,15.290000,279.447998,21.132999,31.153000,31.153000,38.967999,7.815000,957.400024,1017.500000,276.799988,695,52,700,69,460,54,540
13,1776449818,0.000020,21.699800,13.350000,279.410004,21.132999,31.153999,31.153999,38.969002,7.815000,957.400024,1017.500000,276.799988,695,51,700,67,460,33,541
14,1776449822,0.000020,21.698700,11.600000,279.311005,21.135000,31.157000,31.157000,38.972000,7.814000,957.400024,1017.200012,276.799988,695,49,700,71,460,69,540
15,1776449826,0.000020,21.698099,10.140000,279.369995,21.135000,31.155001,31.155001,38.969002,7.814000,957.500000,1017.099976,276.799988,695,52,700,71,460,48,540
16,1776449830,0.000020,21.697800,9.300000,279.290985,21.139000,31.157000,31.157000,38.971001,7.815000,957.400024,1016.900024,276.600006,695,47,700,75,460,46,540
17,1776449834,0.000020,21.697100,8.490000,279.266998,21.142000,31.156000,31.156000,38.972000,7.815000,957.400024,1016.900024,276.500000,695,51,700,67,460,59,540
18,1776449838,0.000020,21.696400,7.750000,279.233002,21.142000,31.158001,31.158001,38.972000,7.814000,957.299988,1016.599976,276.500000,695,51,700,72,460,44,540
19,1776449842,0.000020,21.696100,7.050000,279.295013,21.143999,31.153999,31.153999,38.971001,7.816000,957.299988,1016.400024,276.500000,695,48,700,70,460,60,540
20,1776449846,0.000020,21.695101,6.410000,279.240997,21.143999,31.156000,31.156000,38.972000,7.815000,957.299988,1016.299988,276.500000,695,50,700,66,460,44,540
21,1776449850,0.000020,21.694700,5.810000,279.229004,21.149000,31.155001,31.155001,38.971001,7.816000,957.200012,1016.099976,276.299988,695,48,700,66,460,41,540
22,1776449854,0.000020,21.694500,5.260000,279.220001,21.150000,31.155001,31.155001,38.969002,7.815000,957.299988,1016.099976,276.299988,695,48,700,69,460,51,540
23,1776449858,0.000020,21.693399,4.750000,279.223999,21.153999,31.153000,31.153000,38.971001,7.818000,957.200012,1015.900024,276.200012,695,49,700,70,460,44,540
24,1776449862,0.000020,21.693600,4.270000,279.227997,21.153000,31.153000,31.153000,38.969002,7.816000,957.099976,1015.700012,276.200012,695,46,700,71,460,64,540
25,1776449866,0.000020,21.693300,3.840000,279.230011,21.157000,31.150999,31.150999,38.969002,7.817000,957.200012,1015.599976,276.100006,695,53,700,64,460,49,540
26,1776449870,0.000020,21.692400,3.440000,279.273010,21.157000,31.149000,31.149000,38.966000,7.817000,957.000000,1015.599976,276.100006,695,48,700,71,460,42,540
27,1776449874,0.000020,21.691700,3.080000,279.251007,21.162001,31.148001,31.148001,38.967999,7.819000,957.000000,1015.400024,275.899994,695,50,700,65,460,52,540
28,1776449878,0.000020,21.691500,2.750000,279.118011,21.166000,31.152000,31.152000,38.970001,7.818000,957.099976,1015.400024,275.799988,695,51,700,72,460,46,540
29,1776449882,0.000020,21.691299,2.440000,279.170013,21.167000,31.150000,31.150000,38.966999,7.818000,957.000000,1015.299988,275.799988,695,48,700,67,460,53,540
30,1776449886,0.000020,21.690901,2.170000,279.140015,21.169001,31.150000,31.150000,38.966999,7.817000,957.000000,1015.200012,275.700012,695,51,700,66,460,45,540
31,1776449890,0.000020,21.690701,1.910000,279.152008,21.173000,31.148001,31.148001,38.966999,7.819000,956.900024,1015.000000,275.600006,695,45,700,69,460,40,540
32,1776449894,0.000020,21.689800,1.680000,279.147003,21.174999,31.146999,31.146999,38.965000,7.818000,956.799988,1014.900024,275.500000,695,45,700,71,460,60,540
33,1776449898,0.000020,21.689899,1.470000,279.049011,21.177999,31.150000,31.150000,38.966000,7.816000,956.799988,1014.799988,275.399994,695,50,700,68,460,39,540
34,1776449902,0.000020,21.689199,1.280000,279.117004,21.179001,31.146999,31.146999,38.965000,7.819000,956.700012,1014.799988,275.399994,695,45,700,69,460,35,540
35,1776449906,0.000020,21.688801,1.100000,279.096985,21.184999,31.145000,31.145000,38.964001,7.819000,956.700012,1014.700012,275.200012,695,47,700,64,460,58,540
36,1776449910,0.000020,21.688299,0.960000,279.091003,21.187000,31.143999,31.143999,38.963001,7.819000,956.700012,1014.700012,275.100006,695,51,700,64,460,51,540
