Unix_Epoch_UTC,DateTime_UTC,Depth_dbar,Temp_degC,Cond_S_m,Chl_counts,NTU_counts,CDOM_counts,O2_umol_L,O2Temp_degC
1262389906,2010-01-01 23:51:46,3.15,22.434,0.0,51,71,46,273.34,22.411
1262389914,2010-01-01 23:51:54,7.84,22.434,0.0,50,64,46,273.27,22.413
1262389918,2010-01-01 23:51:58,10.9,22.432,0.0,46,69,61,273.32,22.413
1262389922,2010-01-01 23:52:02,12.99,22.429,0.0,47,65,38,273.27,22.414
1262389926,2010-01-01 23:52:06,15.47,22.428,0.0,48,69,47,273.29,22.415
1262389930,2010-01-01 23:52:10,16.84,22.427,0.0,50,68,61,273.32,22.416
1262389934,2010-01-01 23:52:14,18.21,22.425,0.0,53,67,59,273.33,22.417
1262389938,2010-01-01 23:52:18,17.87,22.425,0.0,45,67,35,273.42,22.418
1262389942,2010-01-01 23:52:22,17.17,22.424,0.0,44,65,61,273.41,22.42
1262389946,2010-01-01 23:52:26,14.97,22.423,0.0,53,63,53,273.37,22.422
1262389950,2010-01-01 23:52:30,16.41,22.423,0.0,53,67,43,273.38,22.423
1262389954,2010-01-01 23:52:34,14.27,22.422,0.0,50,69,46,273.36,22.425
1262389958,2010-01-01 23:52:38,12.35,22.421,0.0,44,69,62,273.33,22.426
1262389962,2010-01-01 23:52:42,10.63,22.421,0.0,54,64,47,273.34,22.429
1262389966,2010-01-01 23:52:46,9.1,22.421,0.0,55,67,49,273.38,22.432
1262389970,2010-01-01 23:52:50,8.22,22.421,0.0,47,65,46,273.35,22.435
1262389974,2010-01-01 23:52:54,7.49,22.42,0.0,48,72,62,273.33,22.437
1262389978,2010-01-01 23:52:58,6.79,22.42,0.0,54,67,56,273.27,22.439
1262389982,2010-01-01 23:53:02,6.13,22.42,0.0,50,68,39,273.25,22.442
1262389986,2010-01-01 23:53:06,5.53,22.419,0.0,49,67,52,273.3,22.444
1262389990,2010-01-01 23:53:10,4.98,22.42,0.0,45,65,55,273.31,22.447
1262389994,2010-01-01 23:53:14,4.48,22.419,0.0,47,68,68,273.24,22.45
1262389998,2010-01-01 23:53:18,4.02,22.419,0.0,50,66,46,273.2,22.452
1262390002,2010-01-01 23:53:22,3.59,22.419,0.0,53,68,33,273.18,22.455
1262390006,2010-01-01 23:53:26,3.21,22.419,0.0,44,68,42,273.23,22.458
1262390010,2010-01-01 23:53:30,2.85,22.419,0.0,50,71,56,273.15,22.462
1262390014,2010-01-01 23:53:34,2.53,22.42,0.0,46,72,53,273.11,22.465
1262390018,2010-01-01 23:53:38,2.23,22.42,0.0,50,72,46,273.13,22.468
1262390022,2010-01-01 23:53:42,1.97,22.42,0.0,49,74,50,273.13,22.472
1262390026,2010-01-01 23:53:46,1.72,22.42,0.0,49,74,50,273.1,22.475
1262390030,2010-01-01 23:53:50,1.49,22.419,0.0,50,66,52,273.09,22.48
1262390034,2010-01-01 23:53:54,1.3,22.42,0.0,51,70,58,273.11,22.483
1262390038,2010-01-01 23:53:58,1.12,22.421,0.0,45,64,60,273.08,22.485
1262390042,2010-01-01 23:54:02,0.96,22.421,0.0,50,68,70,272.99,22.489
1262390046,2010-01-01 23:54:06,0.81,22.42,0.0,52,68,62,273.01,22.493
