datetime,depth,temp,cond,chl,ntu,cdom,o2,o2temp
4b3e8a92,013b,57a2,0000,0033,0047,002e,6ac6,578b
4b3e8a9a,0310,57a2,0000,0032,0040,002e,6abf,578d
4b3e8a9e,0442,57a0,0000,002e,0045,003d,6ac4,578d
4b3e8aa2,0513,579d,0000,002f,0041,0026,6abf,578e
4b3e8aa6,060b,579c,0000,0030,0045,002f,6ac1,578f
4b3e8aaa,0694,579b,0000,0032,0044,003d,6ac4,5790
4b3e8aae,071d,5799,0000,0035,0043,003b,6ac5,5791
4b3e8ab2,06fb,5799,0000,002d,0043,0023,6ace,5792
4b3e8ab6,06b5,5798,0000,002c,0041,003d,6acd,5794
4b3e8aba,05d9,5797,0000,0035,003f,0035,6ac9,5796
4b3e8abe,0669,5797,0000,0035,0043,002b,6aca,5797
4b3e8ac2,0593,5796,0000,0032,0045,002e,6ac8,5799
4b3e8ac6,04d3,5795,0000,002c,0045,003e,6ac5,579a
4b3e8aca,0427,5795,0000,0036,0040,002f,6ac6,579d
4b3e8ace,038e,5795,0000,0037,0043,0031,6aca,57a0
4b3e8ad2,0336,5795,0000,002f,0041,002e,6ac7,57a3
4b3e8ad6,02ed,5794,0000,0030,0048,003e,6ac5,57a5
4b3e8ada,02a7,5794,0000,0036,0043,0038,6abf,57a7
4b3e8ade,0265,5794,0000,0032,0044,0027,6abd,57aa
4b3e8ae2,0229,5793,0000,0031,0043,0034,6ac2,57ac
4b3e8ae6,01f2,5794,0000,002d,0041,0037,6ac3,57af
4b3e8aea,01c0,5793,0000,002f,0044,0044,6abc,57b2
4b3e8aee,0192,5793,0000,0032,0042,002e,6ab8,57b4
4b3e8af2,0167,5793,0000,0035,0044,0021,6ab6,57b7
4b3e8af6,0141,5793,0000,002c,0044,002a,6abb,57ba
4b3e8afa,011d,5793,0000,0032,0047,0038,6ab3,57be
4b3e8afe,00fd,5794,0000,002e,0048,0035,6aaf,57c1
4b3e8b02,00df,5794,0000,0032,0048,002e,6ab1,57c4
4b3e8b06,00c5,5794,0000,0031,004a,0032,6ab1,57c8
4b3e8b0a,00ac,5794,0000,0031,004a,0032,6aae,57cb
4b3e8b0e,0095,5793,0000,0032,0042,0034,6aad,57d0
4b3e8b12,0082,5794,0000,0033,0046,003a,6aaf,57d3
4b3e8b16,0070,5795,0000,002d,0040,003c,6aac,57d5
4b3e8b1a,0060,5795,0000,0032,0044,0046,6aa3,57d9
4b3e8b1e,0051,5794,0000,0034,0044,003e,6aa5,57dd
4b3e8b22,0043,5795,0000,002e,0042,002b,6aa3,57e1
4b3e8b26,0038,5795,0000,002d,0045,0037,6aa3,57e3
4b3e8b2a,002d,5796,0000,0032,0049,003e,6a9f,57e6
4b3e8b2e,0024,5796,0000,002f,0046,0045,6aa5,57ea
4b3e8b32,001c,5795,0000,0035,0045,0030,6a9e,57ec
4b3e8b36,0015,5796,0000,0030,0045,002c,6a9a,57f0
4b3e8b3a,000f,5796,0000,002d,0044,002a,6a94,57f5
4b3e8b3e,000b,5796,0000,002c,0042,003d,6a99,57fa
4b3e8b42,0006,5797,0000,002f,0048,003e,6a98,57fe
