datetime,depth,temp,cond,wl_c1,wl_c2,wl_c3,o2,o2temp
69e278e7,0085,54d1,0000,0034,0046,002f,6d2c,5282
69e278ee,03a9,54cf,0000,0029,0046,002a,6d27,5286
69e278f2,04ba,54cd,0000,0032,0042,003b,6d28,5285
69e278f6,0516,54cd,0000,0033,0046,002d,6d26,5285
69e278fa,0573,54cb,0000,002f,0044,002b,6d2f,5284
69e278fe,058b,54ca,0000,0032,0044,003f,6d2a,5286
69e27902,0570,54c9,0000,0034,0047,002d,6d2b,5286
69e27906,05f5,54c8,0000,002c,0044,002c,6d2a,5288
69e2790a,06a8,54c7,0000,0032,0042,0046,6d27,528a
69e2790e,0740,54c6,0000,0030,004a,002e,6d29,5289
69e27912,06d0,54c5,0000,0032,0047,003d,6d2c,5289
69e27916,05f9,54c4,0000,0034,0045,0036,6d28,528d
69e2791a,0537,54c3,0000,0033,0043,0021,6d25,528d
69e2791e,0488,54c2,0000,0031,0047,0045,6d1b,528f
69e27922,03f6,54c2,0000,0034,0047,0030,6d21,528f
69e27926,03a2,54c1,0000,002f,004b,002e,6d19,5293
69e2792a,0351,54c1,0000,0033,0043,003b,6d16,5296
69e2792e,0307,54c0,0000,0033,0048,002c,6d13,5296
69e27932,02c1,54c0,0000,0030,0046,003c,6d19,5298
69e27936,0281,54bf,0000,0032,0042,002c,6d14,5298
69e2793a,0245,54be,0000,0030,0042,0029,6d12,529d
69e2793e,020e,54be,0000,0030,0045,0033,6d12,529e
69e27942,01db,54bd,0000,0031,0046,002c,6d12,52a2
69e27946,01ab,54bd,0000,002e,0047,0040,6d12,52a1
69e2794a,0180,54bd,0000,0035,0040,0031,6d13,52a5
69e2794e,0158,54bc,0000,0030,0047,002a,6d17,52a5
69e27952,0134,54bb,0000,0032,0041,0034,6d15,52aa
69e27956,0113,54bb,0000,0033,0048,002e,6d07,52ae
69e2795a,00f4,54bb,0000,0030,0043,0035,6d0d,52af
69e2795e,00d9,54ba,0000,0033,0042,002d,6d0a,52b1
69e27962,00bf,54ba,0000,002d,0045,0028,6d0b,52b5
69e27966,00a8,54b9,0000,002d,0047,003c,6d0a,52b7
69e2796a,0093,54b9,0000,0032,0044,0027,6d00,52ba
69e2796e,0080,54b9,0000,002d,0045,0023,6d07,52bb
69e27972,006e,54b8,0000,002f,0040,003a,6d05,52c1
69e27976,0060,54b8,0000,0033,0040,0033,6d05,52c3
69e2797a,0050,54b8,0000,0031,0045,0030,6d03,52c5
69e2797e,0044,54b7,0000,002d,0044,002c,6d00,52c9
69e27982,0039,54b7,0000,0032,004a,0040,6d00,52cd
69e27986,002f,54b7,0000,0032,0042,0025,6cf7,52d0
69e2798a,0026,54b6,0000,0030,0048,002d,6cfd,52cf
69e2798e,001e,54b6,0000,0032,004c,0039,6cfb,52d4
69e27992,0017,54b6,0000,0032,0047,0032,6cf6,52d8
69e27996,0011,54b6,0000,0030,0045,002e,6cf2,52db
69e2799a,000c,54b5,0000,002f,0044,0040,6cf4,52dd
69e2799e,0007,54b5,0000,0032,0047,0031,6cf0,52e1
69e279a2,0002,54b5,0000,002f,0047,0031,6ced,52e5
69e279a6,ffff,54b5,0000,0030,0044,002e,6cf2,52e5
69e279aa,fffb,54b4,0000,0030,0047,0031,6cf2,52e6
69e279ae,fff9,54b4,0000,002f,0045,0039,6cef,52ec
69e279b2,fff6,54b4,0000,0032,0042,0031,6ce5,52f1
69e279b6,fff4,54b3,0000,002e,0049,0033,6ce5,52f6
69e279ba,fff3,54b3,0000,002f,0049,0042,6ce7,52f8
69e279be,fff1,54b3,0000,002d,0043,0027,6ce4,52fb
69e279c2,ffef,54b3,0000,002f,0048,0032,6ce4,52ff
69e279c6,ffec,54b2,0000,0032,0046,003f,6cdd,5300
69e279ca,ffea,54b2,0000,0034,0040,0027,6cdc,5305
69e279ce,ffe8,54b1,0000,0031,0044,002e,6cd6,5307
69e279d2,ffe6,54b2,0000,0034,0041,0031,6cde,530a
69e279d6,ffe3,54b1,0000,002e,0048,0031,6cdd,530d
69e279da,ffe2,54b1,0000,0034,0047,003e,6cd6,5313
69e279de,ffe0,54b1,0000,0031,0045,0034,6cd6,5317
69e279e2,ffde,54b1,0000,0030,0045,002c,6cd7,5319
69e279e6,ffdd,54b1,0000,002a,0044,0037,6cd5,531d
69e279ea,ffdd,54b0,0000,0031,0041,003b,6cce,5320
69e279ee,ffdc,54b0,0000,0030,0044,0027,6cd0,5322
69e279f2,ffdc,54b0,0000,0029,0043,003b,6cd1,5326
69e279f6,ffda,54af,0000,0031,0043,0032,6ccc,5329
69e279fa,ffd9,54af,0000,0035,0045,0025,6cc9,532c
69e279fe,ffd7,54af,0000,002f,0042,0038,6ccd,532e
69e27a02,ffd6,54af,0000,0032,0044,002d,6cc2,5334
69e27a06,ffd7,54af,0000,0033,0046,0021,6cc2,5337
69e27a0a,ffd9,54af,0000,002e,0044,0042,6cc3,533a
69e27a0e,ffd9,54ae,0000,0035,0045,002a,6cbc,533d
69e27a12,ffd8,54ae,0000,002f,0048,0034,6cbe,5340
69e27a16,ffd8,54ae,0000,0030,0043,0039,6cc2,5344
69e27a1a,ffd8,54ae,0000,0031,0049,0033,6cb4,5347
69e27a1e,ffd8,54ad,0000,002f,0046,0044,6cb9,5349
69e27a22,ffd8,54ad,0000,0030,0041,002b,6cb6,534b
69e27a26,ffd7,54ad,0000,002d,0047,003e,6cba,534e
69e27a2a,ffd7,54ad,0000,0030,0040,0026,6cb3,5353
69e27a2e,ffd8,54ad,0000,0034,0043,0030,6cad,5356
69e27a32,ffd7,54ac,0000,002d,0042,0032,6cb0,535a
69e27a36,ffd7,54ac,0000,002e,0046,002d,6caf,535f
69e27a3a,ffd7,54ac,0000,002e,0045,0043,6ca8,5361
69e27a3e,ffd7,54ac,0000,0031,003f,0026,6ca4,5363
69e27a42,ffd7,54ac,0000,002e,0044,0038,6ca1,5368
69e27a46,ffd7,54ac,0000,0032,0044,0025,6ca1,536c
69e27a4a,ffd7,54ac,0000,0031,004a,0033,6ca6,536d
69e27a4e,ffd7,54ab,0000,0031,0042,0032,6ca3,5373
69e27a52,ffd7,54ab,0000,002e,0045,0026,6ca4,5374
69e27a56,ffd6,54ab,0000,002d,0045,0048,6c9f,5376
69e27a5a,ffd6,54ab,0000,0032,0047,002d,6ca2,537a
69e27a5e,ffd6,54ab,0000,002d,0044,003f,6c9f,537e
69e27a62,ffd6,54ab,0000,002f,0042,0029,6c98,5382
69e27a66,ffd6,54ab,0000,002e,0046,0028,6ca1,5383
69e27a6a,ffd6,54ab,0000,0030,0047,0047,6c97,5387
69e27a6e,ffd5,54ab,0000,002f,0047,0026,6c96,5389
69e27a72,ffd6,54aa,0000,0034,0044,003a,6c99,538e
69e27a76,ffd5,54aa,0000,0031,0046,002f,6c8c,5390
69e27a7a,ffd5,54aa,0000,0032,004c,0044,6c91,5393
69e27a7e,ffd5,54aa,0000,0037,0048,002f,6c8f,5393
69e27a82,ffd5,54aa,0000,002c,0044,0038,6c8d,5397
69e27a86,ffd4,54aa,0000,0037,0041,0034,6c8b,539b
69e27a8a,ffd5,54aa,0000,002c,004b,002d,6c89,53a0
69e27a8e,ffd5,54aa,0000,0032,0042,0035,6c89,53a5
69e27a92,ffd4,54a9,0000,0031,0043,002d,6c81,53a8
69e27a96,ffd4,54a9,0000,0030,004b,0034,6c7e,53ab
69e27a9a,ffd4,54a9,0000,0031,0044,0034,6c82,53ac
69e27a9e,ffd4,54a9,0000,0035,0047,002f,6c82,53b0
69e27aa2,ffd4,54a9,0000,0030,0046,0032,6c80,53b5
69e27aa6,ffd3,54a9,0000,002f,0049,0041,6c81,53b5
69e27aaa,ffd4,54a9,0000,0032,0042,0034,6c84,53b7
69e27aae,ffd4,54aa,0000,0035,0042,003a,6c7b,53ba
69e27ab2,ffd6,54a8,0000,0035,0045,002d,6c7f,53bf
69e27ab6,ffd6,54a9,0000,002e,0043,0029,6c7a,53c2
69e27aba,ffd5,54a9,0000,002d,0046,002c,6c76,53c3
69e27abe,ffd5,54a9,0000,0032,004c,0032,6c74,53c8
69e27ac2,ffd5,54a9,0000,0030,0041,003d,6c73,53c9
69e27ac6,ffd5,54a8,0000,0032,0042,0033,6c71,53ce
69e27aca,ffd5,54a9,0000,0031,0044,0023,6c6e,53d2
69e27ace,ffd5,54a9,0000,0030,004a,0038,6c6e,53d4
69e27ad2,ffd5,54a9,0000,0036,003f,0034,6c70,53d9
69e27ad6,ffd4,54a8,0000,0033,0048,002d,6c6d,53dc
69e27ada,ffd4,54a9,0000,0030,0046,003e,6c6f,53df
69e27ade,ffd4,54a8,0000,0032,0041,003b,6c6b,53df
69e27ae2,ffd4,54a8,0000,002f,0045,0031,6c6a,53e2
69e27ae6,ffd4,54a8,0000,002e,0048,0039,6c66,53e8
69e27aea,ffd4,54a8,0000,0033,0043,0034,6c67,53ea
69e27aee,ffd4,54a9,0000,002e,0041,0029,6c5f,53ef
69e27af2,ffd3,54a8,0000,0034,004a,003f,6c67,53ec
69e27af6,ffd3,54a8,0000,0033,0045,0033,6c65,53f2
69e27afa,ffd4,54a8,0000,0030,0047,0030,6c61,53f5
69e27afe,ffd3,54a8,0000,002b,0043,003a,6c62,53f8
69e27b02,ffd4,54a8,0000,0033,0042,0032,6c5d,53fc
69e27b06,ffd3,54a9,0000,002d,0042,002c,6c58,53fe
69e27b0a,ffd3,54a9,0000,002f,0044,002e,6c4e,5403
69e27b0e,ffd3,54a8,0000,0030,0045,0042,6c51,5407
69e27b12,ffd3,54a9,0000,0033,0042,0041,6c55,5409
69e27b16,ffd3,54a8,0000,0035,0041,0033,6c50,540c
69e27b1a,ffd2,54a9,0000,0033,0046,0029,6c4e,540d
69e27b1e,ffd2,54a9,0000,002c,0048,002a,6c44,5411
69e27b22,ffd3,54a9,0000,0033,0042,0043,6c4d,5415
69e27b26,ffd2,54a8,0000,0031,003f,002a,6c47,5418
69e27b2a,ffd2,54a9,0000,0032,0045,0022,6c41,541a
69e27b2e,ffd2,54a9,0000,0034,004a,0039,6c43,541e
69e27b32,ffd2,54a8,0000,0032,0042,0030,6c45,5421
69e27b36,ffd2,54a9,0000,0032,0042,0029,6c3e,5422
69e27b3a,ffd2,54a9,0000,002e,004a,0033,6c40,5425
69e27b3e,ffd2,54a9,0000,002f,0044,0035,6c42,5428
69e27b42,ffd2,54a9,0000,0038,0044,002a,6c39,542b
69e27b46,ffd2,54aa,0000,0035,0045,0031,6c3e,542c
69e27b4a,ffd2,54a9,0000,002e,0044,0041,6c44,5430
69e27b4e,ffd2,54aa,0000,0035,0041,0033,6c3d,5430
69e27b52,ffd2,54aa,0000,0033,0043,0032,6c3a,5434
69e27b56,ffd2,54aa,0000,0032,004a,0042,6c3b,5438
69e27bc6,ffd1,54bb,0000,0034,0041,0032,6c16,5465
69e27bda,ffd1,54bc,0000,002e,0044,0037,6c16,5466
69e27bee,ffd1,54bd,0000,0031,0046,002f,6c13,5467
69e27c02,ffcf,54bd,0000,002d,0049,002e,6c11,5469
69e27c16,ffcf,54be,0000,0032,0042,0031,6c12,546c
69e27c2a,ffcf,54c1,0000,0029,0047,0027,6c10,546f
69e27c3e,ffcf,54c2,0000,0030,0048,003b,6c11,5474
69e27c52,ffce,54c3,0000,0032,0044,0039,6c0a,5476
69e27c66,ffce,54c5,0000,002f,0043,0032,6c0a,547f
69e27c7a,ffce,54c7,0000,0031,004a,0042,6c09,5480
69e27c8e,ffcd,54c8,0000,0030,0042,0027,6c02,5486
69e27ca2,ffcd,54ca,0000,0030,0042,003d,6c03,548a
69e27cb6,ffcf,54cb,0000,0030,0042,0026,6bf9,5492
69e27cca,ffd0,54cd,0000,0030,004a,0042,6bf9,5497
69e27cde,ffcf,54cf,0000,0037,0049,0025,6bfb,549d
69e27cf2,ffce,54d1,0000,002c,0044,002e,6bf5,549f
69e27d06,ffce,54d2,0000,0037,0047,0022,6bf1,54a2
69e27d1a,ffcd,54d4,0000,0032,0045,0036,6bf5,54aa
69e27d2e,ffce,54d7,0000,0032,0041,0034,6bf3,54b1
69e27d42,ffcd,54d8,0000,0033,003f,0031,6beb,54b7
69e27d56,ffcd,54da,0000,002f,0046,0041,6bf0,54b7
69e27d6a,ffcc,54dd,0000,0032,0048,0021,6be1,54c3
69e27d7e,ffcc,54df,0000,0031,0046,0032,6be3,54c9
69e27d92,ffcc,54e1,0000,002e,0044,003d,6bd7,54cc
69e27da6,ffcc,54e3,0000,0034,0044,0020,6be0,54d4
69e27dba,ffcc,54e5,0000,0032,0047,0047,6bd8,54d9
69e27dce,ffcc,54e8,0000,002d,0044,0043,6bd2,54df
69e27de2,ffcc,54ea,0000,0032,0048,002f,6bd7,54e3
